EmployeeID,Age,Department,Education,JobRole,Gender,MonthlyIncome,DateOfJoining,OverTime,BusinessTravel,MaritalStatus,YearsAtCompany,DistanceFromHome,PerformanceRating,TrainingTimesLastYear,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,Attrition,StockOptionLevel,PercentSalaryHike,TotalWorkingYears
1405.0,Thirty,Human Resources,5,,M,4373,2025-03-31,No,Travel_Rarely,M,9,,3,3,Low,,,,Five,High,yes,1,12,Twenty
5289.0,Thirty,Research & Development,1,Tech,,Five Thousand,2017-02-21,Y,Non-Travel,Single,Ten,,3,3,,4,1,,Five,2,No,3,,Twenty
3064.0,Thirty,Human Resources,2,Tech,Female,Five Thousand,12-05-2018,Yes,Frequently,M,,Near,,Zero,1,,2,4,Five,4,N,,18,
7752.0,23,Sales,1,,M,Five Thousand,12-05-2018,No,Travel_Frequently,M,13,Far,2,6,3,1,Good,,Five,4,N,3,18,
7842.0,,Research & Development,4,Manager,F,6926,Not Available,N,,D,Ten,Near,2,,Low,1,3,4,Five,2,No,0,Twenty,11
6999.0,Thirty,Research & Development,5,Executive,Male,,2017-02-23,No,Non-Travel,M,,Far,3,0,3,4,3,7,Five,1,N,,25,15
3533.0,26,Sales,3,Research Scientist,Male,11132,2020-07-19,,Non-Travel,Divorced,,,2,Zero,4,Poor,2,None,,High,Yes,Zero,Twenty,
4260.0,Thirty,HR,3,Executive,F,,2024-11-24,,Travel_Rarely,D,,15,High,4,Low,4,4,,1,2,Y,Zero,18,Twenty
4076.0,25,Human Resources,1,Research Scientist,Female,,2019-10-16,Y,Rarely,single,8,12,4,,4,,2,None,Five,1,N,2,14,
3948.0,55,,,Manager,M,,,Yes,Non-Travel,single,Ten,Far,High,Zero,Low,1,Good,,1,1,Yes,,14,Twenty
4235.0,Thirty,rnd,Two,Scientist,Male,Five Thousand,,Yes,Travel_Frequently,D,20,30,3,,4,1,4,10,,High,yes,2,Twenty,Twenty
5029.0,50,HR,2,Laboratory Technician,M,Five Thousand,Not Available,,Frequently,,,Far,High,Zero,1,4,Good,5,,2,yes,3,,Twenty
1719.0,Thirty,HR,Two,Executive,,,12-05-2018,No,Rarely,Single,,3,4,Zero,3,1,,None,,3,yes,3,Twenty,18
8818.0,Thirty,Research & Development,,Research Scientist,male,9325,,Y,,Married,5,Far,4,Zero,1,,2,2,,2,No,1,Twenty,
6601.0,Thirty,Sales,,Manager,,,Not Available,Y,Travel_Rarely,Single,,,2,Zero,4,4,3,None,Five,1,yes,3,,38
3250.0,43,rnd,,Manager,,Five Thousand,2016-07-19,yes,Frequently,Single,7,Far,2,5,3,4,,None,,4,N,,Twenty,Twenty
3344.0,38,R&D,4,Research Scientist,,18873,12-05-2018,Yes,Travel_Rarely,Married,,1,,,4,,,None,8,4,Y,3,Twenty,Twenty
,,R&D,2,Executive ,Male,,,,,D,7,20,2,Zero,2,1,1,,,4,yes,1,,
6828.0,,,5,Tech,Male,,2021-06-25,yes,Travel_Rarely,D,,5,1,6,4,3,,,0,1,Y,,18,Twenty
4381.0,,Sales,3,Scientist,Male,4500,,yes,Rarely,Divorced,,Near,4,6,1,3,Good,,13,3,No,0,,Twenty
5821.0,Thirty,Sales,3,Research Scientist,Female,,,No,Non-Travel,M,10,Far,2,Zero,,Poor,2,,8,,No,2,,
5352.0,27,HR,1,,M,,12-05-2018,No,Non-Travel,single,4,Near,,Zero,3,1,2,,,,Yes,3,,Twenty
7282.0,Thirty,,,Executive,Male,17258,,,Frequently,single,,Far,,3,,Poor,4,None,1,1,yes,1,17,
2414.0,40,Sales,3,Research Scientist,,,,N,Travel_Rarely,,13,Near,3,Zero,Low,3,3,2,,,Yes,1,,29
5228.0,Thirty,Sales,,,,Five Thousand,12-05-2018,,Frequently,D,,,2,,3,1,2,4,,3,Y,3,,28
7235.0,,HR,2,Research Scientist,M,Five Thousand,,Yes,,Married,,Near,4,5,Low,1,2,None,Five,2,N,3,Twenty,
3302.0,,Sales,,Executive ,Female,Five Thousand,,No,Travel_Frequently,single,,27,1,Zero,Low,4,1,None,Five,,yes,2,16,40
,,R&D,5,Laboratory Technician,male,5753,Not Available,Yes,,,15,,4,,3,,Good,1,,1,No,Zero,Twenty,Twenty
,Thirty,Research & Development,,,Male,3436,Not Available,N,,Single,8,Near,2,Zero,3,2,,6,Five,3,,2,Twenty,Twenty
8581.0,Thirty,Sales,Two,Research Scientist,M,Five Thousand,2019-04-20,,Travel_Rarely,Divorced,,,1,,,3,4,None,,2,N,3,,35
4268.0,,Research & Development,2,Research Scientist,,6837,Not Available,N,Non-Travel,Divorced,,,High,0,4,1,4,None,Five,High,Yes,0,24,Twenty
4658.0,Thirty,HR,1,Manager,Female,,2023-04-26,Y,Frequently,D,Ten,16,4,Zero,4,Poor,1,3,1,3,,3,,
1073.0,31,HR,Two,Tech,,11995,2018-12-04,Yes,,single,,Near,High,Zero,4,2,1,,11,High,yes,Zero,15,Twenty
6523.0,Thirty,R&D,2,Scientist,F,Five Thousand,,N,Non-Travel,Divorced,2,12,3,2,Low,2,3,None,Five,1,Y,0,,Twenty
5296.0,Thirty,HR,1,Manager,Female,Five Thousand,,,Travel_Rarely,,,Near,,,1,1,3,8,,3,yes,0,Twenty,Twenty
9436.0,Thirty,Sales,3,Executive,male,13696,12-05-2018,No,Frequently,,Ten,2,3,,Low,2,4,,Five,1,,,Twenty,4
9762.0,Thirty,rnd,2,Scientist,male,Five Thousand,2016-09-03,Yes,Travel_Frequently,D,Ten,,2,1,2,3,1,4,,3,Yes,1,Twenty,
3600.0,32,Sales,4,Research Scientist,Male,,2019-01-23,N,Travel_Rarely,M,,,High,Zero,2,1,,0,9,2,No,Zero,10,8
5624.0,,Human Resources,1,Tech,F,Five Thousand,Not Available,yes,Frequently,D,,10,1,5,Low,Poor,2,,11,2,Y,,Twenty,
2708.0,,Research & Development,Two,Research Scientist,male,,2021-09-08,N,Travel_Frequently,Married,5,Near,2,,1,3,1,,Five,2,,0,21,33
3709.0,31,HR,1,Executive,male,,2021-04-19,Y,Travel_Rarely,D,,Near,,Zero,2,1,1,,13,1,N,2,18,
2841.0,,Sales,2,Tech,,,12-05-2018,No,Rarely,single,19,6,2,,Low,Poor,2,None,,High,,3,Twenty,Twenty
6378.0,Thirty,HR,2,Executive ,Male,,2024-07-11,yes,Rarely,M,Ten,,3,3,1,4,3,,Five,2,Yes,3,,
8362.0,55,HR,3,Manager,male,,,N,Frequently,Divorced,6,Near,3,,1,4,2,None,Five,High,Y,Zero,Twenty,
7870.0,Thirty,Human Resources,5,Tech,F,Five Thousand,Not Available,No,Travel_Rarely,Single,,Far,4,Zero,Low,4,4,None,Five,2,Yes,Zero,,6
7539.0,54,,5,,Female,Five Thousand,,No,Travel_Rarely,Married,Ten,,,6,1,3,2,7,,High,No,1,Twenty,Twenty
3776.0,,HR,3,Executive ,Female,Five Thousand,,No,Non-Travel,Single,11,Near,1,Zero,1,2,3,None,Five,2,N,2,Twenty,31
7095.0,Thirty,,Two,Research Scientist,male,19971,2023-10-26,Yes,Non-Travel,Divorced,,,,,3,2,3,None,,,yes,3,13,19
4597.0,23,Sales,4,Executive,,,2019-11-14,,Travel_Frequently,Divorced,Ten,5,1,Zero,Low,3,,None,Five,4,No,Zero,Twenty,38
6151.0,55,HR,1,Manager,F,Five Thousand,,Yes,Non-Travel,,,Near,High,2,Low,4,,,Five,4,Yes,1,Twenty,11
7334.0,Thirty,rnd,4,Scientist,,,,No,,D,,3,3,2,3,1,Good,None,,4,Yes,0,,35
7924.0,33,rnd,5,Laboratory Technician,Female,Five Thousand,,,Non-Travel,Married,Ten,,High,Zero,4,1,4,,,High,N,2,,Twenty
3598.0,Thirty,Human Resources,4,Research Scientist,Male,,,,Rarely,Married,,16,High,3,Low,3,3,,,4,yes,1,Twenty,10
9847.0,41,Sales,2,Scientist,F,15458,12-05-2018,Yes,,Divorced,,Near,1,Zero,Low,Poor,2,,Five,3,Y,1,,
8374.0,Thirty,Human Resources,5,Tech,M,Five Thousand,2020-12-08,Yes,Frequently,single,,Near,,6,3,3,4,,,3,,Zero,Twenty,Twenty
1013.0,Thirty,R&D,Two,Executive,F,,,yes,Travel_Rarely,D,Ten,Near,4,Zero,,,1,,,3,Y,,,Twenty
9369.0,,Sales,Two,,,6820,,,Non-Travel,M,20,1,High,,4,2,4,3,,3,Y,0,,Twenty
9901.0,,HR,2,Executive ,F,,12-05-2018,N,Frequently,Married,,14,2,2,1,4,3,1,15,3,Yes,1,,Twenty
3073.0,Thirty,Sales,,Manager,Male,,12-05-2018,Yes,Non-Travel,Divorced,,,High,Zero,Low,Poor,1,,6,3,,2,16,26
7521.0,,Sales,3,,male,Five Thousand,Not Available,yes,,Divorced,6,Near,2,Zero,4,,4,None,,2,Y,,Twenty,6
9382.0,,R&D,3,Executive,Female,,12-05-2018,,Non-Travel,Married,Ten,29,2,2,3,1,,10,Five,High,No,3,,8
,51,R&D,1,Research Scientist,F,,2019-11-02,No,Travel_Frequently,,Ten,,,Zero,Low,,2,,,2,,Zero,21,38
6754.0,Thirty,Research & Development,4,Research Scientist,Female,13027,,Y,Non-Travel,Divorced,15,Near,1,Zero,Low,2,3,10,,High,yes,0,,8
1025.0,,Research & Development,5,Executive,M,10279,2019-10-23,No,Rarely,D,,,,,4,Poor,2,None,,4,No,2,Twenty,
8277.0,,Research & Development,1,Executive ,F,,,yes,Rarely,,,,1,,1,1,1,None,,,yes,0,Twenty,
8444.0,47,Research & Development,5,Research Scientist,male,Five Thousand,Not Available,yes,Rarely,Single,6,22,3,Zero,,2,2,9,Five,3,No,0,18,6
8451.0,,R&D,2,Manager,Male,,,yes,Non-Travel,single,Ten,,2,Zero,2,3,1,,,,yes,Zero,Twenty,Twenty
,Thirty,R&D,5,,M,19288,,Y,Travel_Frequently,Married,,Far,3,2,2,,3,3,Five,High,No,1,Twenty,Twenty
9646.0,45,,4,Tech,F,Five Thousand,Not Available,Yes,Frequently,,,5,4,0,2,Poor,1,None,14,,yes,1,20,Twenty
2788.0,,HR,4,Laboratory Technician,Female,Five Thousand,,No,,Single,17,21,2,,4,1,2,,Five,2,Y,0,,
9781.0,48,,4,Tech,,,2024-11-14,No,Travel_Rarely,D,Ten,Far,1,,1,2,,9,13,,,Zero,,Twenty
6150.0,27,Research & Development,2,,Male,5393,Not Available,,Frequently,,Ten,Far,,,1,,,None,,3,,Zero,22,13
5903.0,Thirty,Human Resources,1,Tech,F,,12-05-2018,,Rarely,Married,Ten,Near,4,0,,1,1,None,,4,,0,Twenty,3
3528.0,,Sales,3,Scientist,,,,,,,,Near,2,,3,4,3,1,Five,4,Yes,1,Twenty,Twenty
7618.0,,Research & Development,4,,M,13344,2024-11-07,yes,,D,12,Far,1,,2,3,2,,Five,4,Yes,Zero,Twenty,36
3038.0,Thirty,rnd,5,Executive ,Male,7945,,N,Frequently,,Ten,Near,2,Zero,,1,3,,,,No,0,19,Twenty
2390.0,Thirty,Human Resources,2,Research Scientist,F,19074,,No,Travel_Rarely,M,,,High,,4,2,Good,None,,4,Y,Zero,Twenty,1
3667.0,31,Human Resources,Two,Tech,F,4271,,,,,Ten,16,,2,2,1,1,2,Five,,,2,15,6
8647.0,Thirty,Sales,1,Tech,Male,Five Thousand,,N,Travel_Rarely,Divorced,10,Near,1,1,,2,4,None,,,yes,3,15,Twenty
4980.0,Thirty,Research & Development,,Research Scientist,male,,2019-06-12,,Rarely,Single,Ten,,3,,2,3,3,,14,2,N,1,15,30
3129.0,Thirty,,,Executive,male,Five Thousand,Not Available,N,Frequently,D,15,,High,Zero,4,1,2,None,0,4,yes,Zero,,Twenty
7223.0,Thirty,Sales,1,Laboratory Technician,,,2019-01-20,yes,Travel_Frequently,Divorced,12,21,High,,1,Poor,1,,9,1,yes,1,,
8666.0,Thirty,HR,5,Scientist,M,,Not Available,N,Frequently,,20,27,,Zero,4,1,3,None,Five,High,No,0,Twenty,Twenty
4473.0,Thirty,Human Resources,Two,Executive,M,9090,2017-05-09,N,,Single,14,Far,,1,,,3,2,0,1,yes,2,Twenty,
2900.0,Thirty,rnd,Two,Laboratory Technician,Female,8929,,Yes,Travel_Frequently,Married,,Near,3,0,1,2,Good,0,,,No,Zero,,
8469.0,Thirty,Sales,Two,Manager,M,Five Thousand,12-05-2018,Yes,Travel_Rarely,D,,Near,,,1,3,3,10,7,High,,2,Twenty,22
3056.0,37,HR,5,Manager,F,,2016-06-26,Yes,Rarely,single,Ten,Near,4,5,1,Poor,4,8,Five,4,,2,,
2336.0,,HR,,Scientist,,Five Thousand,12-05-2018,Yes,Travel_Rarely,single,19,18,2,,Low,2,Good,None,3,2,Yes,,,
3911.0,59,Sales,4,Executive,,,Not Available,yes,Rarely,M,19,,,Zero,1,1,3,10,Five,1,N,0,Twenty,21
4354.0,,rnd,4,Manager,,Five Thousand,,No,,Single,19,14,4,,Low,Poor,4,,Five,3,N,3,11,
9538.0,Thirty,R&D,3,Tech,male,10635,12-05-2018,yes,Rarely,M,Ten,Far,,5,1,1,,1,11,4,,Zero,Twenty,
9007.0,Thirty,HR,1,Manager,,Five Thousand,Not Available,Y,Rarely,Married,Ten,7,1,5,Low,1,1,10,Five,1,,2,,7
8956.0,Thirty,Research & Development,,Laboratory Technician,Male,,2019-04-12,yes,,Married,6,Near,2,Zero,,4,Good,,Five,4,,,22,14
5094.0,,Sales,5,Laboratory Technician,Female,,,N,Travel_Rarely,Single,2,9,1,,4,,Good,,4,High,Yes,1,,30
7524.0,44,Human Resources,5,Scientist,male,19272,12-05-2018,Yes,Frequently,Single,Ten,,,0,,2,4,,Five,1,No,3,24,Twenty
2746.0,Thirty,Sales,,Manager,male,,Not Available,,Frequently,single,,Near,3,Zero,,4,,,13,1,yes,0,,Twenty
2949.0,Thirty,R&D,1,Research Scientist,Female,,12-05-2018,No,Non-Travel,,Ten,Far,4,Zero,4,1,4,,Five,High,,2,,
2674.0,,R&D,,Scientist,M,17450,Not Available,Y,,Married,6,Far,1,Zero,,Poor,4,,14,1,N,2,17,5
9377.0,Thirty,rnd,Two,Laboratory Technician,M,4206,12-05-2018,Y,Travel_Rarely,M,,Far,High,,3,4,4,8,Five,High,yes,1,,5
9773.0,Thirty,rnd,,Tech,,Five Thousand,Not Available,Yes,Rarely,Single,Ten,Near,4,5,1,1,2,10,,,N,3,11,38
3516.0,21,Human Resources,1,,Female,Five Thousand,,No,Frequently,D,,Near,4,Zero,Low,3,,,Five,1,,,22,8
2646.0,,Sales,Two,Manager,male,Five Thousand,12-05-2018,,Travel_Frequently,D,10,,High,,Low,3,1,None,,4,yes,2,,12
2310.0,Thirty,Human Resources,3,Executive ,Male,7187,Not Available,yes,Non-Travel,D,Ten,21,3,Zero,4,3,4,,,2,N,2,12,16
9273.0,20,rnd,,Tech,male,11595,,No,Frequently,,,Near,4,,2,3,1,None,,1,Y,3,Twenty,Twenty
8359.0,55,Sales,,,Female,19561,2021-04-26,No,Rarely,single,19,Far,2,3,3,2,4,10,Five,,Y,1,25,Twenty
9244.0,Thirty,Sales,3,Executive ,F,,Not Available,,Travel_Frequently,D,Ten,,High,1,3,1,,None,Five,4,No,Zero,,
3525.0,33,HR,1,Executive,F,,12-05-2018,Yes,Travel_Rarely,,,Near,3,Zero,3,Poor,4,1,0,High,No,,Twenty,7
9098.0,Thirty,Sales,3,Laboratory Technician,F,4819,2015-09-30,yes,Travel_Rarely,Single,Ten,,4,,1,3,2,,,2,No,2,,Twenty
5539.0,,,4,Executive,,3300,Not Available,Y,Travel_Rarely,D,5,2,1,Zero,3,4,4,,,4,,0,24,Twenty
3069.0,Thirty,Research & Development,3,Executive ,Male,18160,Not Available,,Frequently,Single,,Near,3,,,2,4,0,11,,N,Zero,Twenty,27
6169.0,,Sales,3,Executive ,Female,2142,,N,,Divorced,,Far,4,0,2,1,2,,7,High,,0,,12
6317.0,Thirty,,4,Laboratory Technician,F,Five Thousand,12-05-2018,N,Travel_Frequently,,Ten,Far,,1,Low,1,1,None,,High,Yes,1,21,
4724.0,,Human Resources,,Manager,F,,Not Available,yes,Frequently,Married,Ten,27,High,4,2,Poor,4,10,,3,yes,1,Twenty,Twenty
3190.0,37,Sales,2,Manager,,,2019-10-14,Yes,Travel_Rarely,,,Near,4,Zero,4,,4,,0,1,No,0,Twenty,
3388.0,Thirty,Sales,1,Executive,,Five Thousand,12-05-2018,Yes,Non-Travel,Divorced,,,3,4,3,2,4,None,0,,No,1,15,
4173.0,,rnd,4,Laboratory Technician,F,Five Thousand,Not Available,yes,,single,13,Near,3,,1,1,2,,,,Yes,Zero,Twenty,
7192.0,,R&D,,Laboratory Technician,M,13538,Not Available,N,Frequently,Married,9,Near,2,5,1,,3,7,15,3,Yes,1,Twenty,
2569.0,Thirty,,2,Scientist,male,Five Thousand,,N,Rarely,Married,Ten,Near,High,3,3,1,Good,None,Five,3,No,2,15,
2579.0,,Research & Development,,Manager,F,18093,Not Available,Yes,,,,Far,,2,Low,Poor,3,3,14,1,yes,,17,
2230.0,Thirty,rnd,,Manager,F,,,,Non-Travel,Single,1,Near,,,3,Poor,,None,13,2,,3,23,9
1037.0,,Sales,1,Manager,F,19943,,yes,Rarely,Married,,Far,High,,4,3,4,0,3,1,N,3,,
2802.0,Thirty,,Two,,M,7451,,N,Travel_Frequently,single,Ten,Far,2,,Low,3,Good,None,Five,,yes,1,18,Twenty
3565.0,,HR,2,,,Five Thousand,12-05-2018,Yes,Rarely,,Ten,13,4,Zero,3,1,3,6,,3,,1,Twenty,23
4271.0,,R&D,4,,,Five Thousand,12-05-2018,No,Rarely,D,17,,2,,,1,Good,10,Five,4,yes,0,,18
3331.0,49,Sales,1,Laboratory Technician,male,17363,,N,Frequently,single,,,1,,3,Poor,3,1,11,4,Yes,,Twenty,Twenty
4107.0,,Sales,4,Manager,male,7478,Not Available,Y,Non-Travel,,9,Far,2,2,2,2,1,7,Five,,yes,2,10,25
3999.0,,HR,4,Executive,male,3609,,Yes,Rarely,single,Ten,8,High,Zero,2,3,Good,,Five,3,,,Twenty,
8329.0,,Human Resources,,Tech,,,Not Available,Y,Non-Travel,single,12,,3,Zero,,4,1,9,1,2,No,3,Twenty,
2762.0,Thirty,Research & Development,2,Executive ,Male,Five Thousand,12-05-2018,Yes,Rarely,,Ten,Near,2,,4,Poor,Good,,12,1,N,Zero,,Twenty
4441.0,54,Sales,Two,Tech,male,Five Thousand,,Yes,,single,Ten,,2,,2,4,2,,10,High,Yes,1,Twenty,24
7374.0,47,rnd,4,Tech,Male,,Not Available,Y,,,Ten,8,3,4,,4,,None,,2,yes,Zero,24,11
6173.0,,HR,3,,male,6990,12-05-2018,N,Travel_Frequently,single,Ten,Near,2,Zero,2,Poor,,,3,,No,,,Twenty
1871.0,21,rnd,2,Research Scientist,M,12561,2016-01-15,Y,Rarely,single,Ten,Near,3,Zero,Low,4,4,,10,1,No,0,Twenty,Twenty
4236.0,Thirty,Sales,5,Scientist,Male,Five Thousand,12-05-2018,Y,Travel_Frequently,Divorced,,Near,1,,3,1,3,9,11,High,yes,3,,25
9473.0,Thirty,R&D,4,Laboratory Technician,male,,12-05-2018,,Frequently,Divorced,,,3,Zero,4,4,Good,None,10,High,No,,Twenty,Twenty
1513.0,25,Research & Development,3,Laboratory Technician,M,Five Thousand,2017-03-20,Y,Travel_Frequently,Married,13,Near,4,,1,2,1,None,,High,No,2,Twenty,
7717.0,46,,3,Research Scientist,,,,Y,Frequently,single,15,Far,3,0,4,2,4,None,Five,High,yes,Zero,Twenty,
7564.0,31,R&D,4,Executive,M,,2021-09-26,Y,Frequently,Married,,Near,4,Zero,4,Poor,Good,7,Five,High,,Zero,Twenty,24
1272.0,56,HR,Two,Manager,male,Five Thousand,Not Available,N,Frequently,D,,,1,,,Poor,1,,,High,Yes,3,,31
,25,rnd,Two,Laboratory Technician,F,,2019-01-01,No,Travel_Rarely,single,,Near,2,Zero,2,2,2,,9,2,No,3,,Twenty
6395.0,46,Human Resources,1,Executive,F,,12-05-2018,Yes,Frequently,,,Far,High,,3,Poor,,,Five,3,,Zero,,Twenty
6162.0,41,R&D,2,Executive ,,18268,2019-09-01,No,Travel_Frequently,Divorced,Ten,Far,2,,Low,4,3,None,4,2,N,1,,Twenty
8190.0,42,Research & Development,Two,Executive ,,,,,Frequently,,,2,1,Zero,3,4,4,0,,High,Y,,,16
4892.0,Thirty,rnd,1,Manager,F,8662,2019-03-07,yes,Non-Travel,D,13,,2,,1,1,Good,0,Five,4,N,3,17,5
7864.0,Thirty,Human Resources,3,Scientist,male,,2020-05-15,,Travel_Rarely,D,Ten,Far,3,3,3,3,4,5,Five,1,yes,3,,Twenty
2445.0,,Sales,Two,Research Scientist,male,,Not Available,N,Non-Travel,single,3,Near,1,4,,4,3,,5,1,N,1,19,39
2017.0,Thirty,Sales,4,Tech,,4203,,No,,Single,,15,1,2,Low,3,Good,None,14,4,N,1,Twenty,Twenty
4281.0,Thirty,,1,Laboratory Technician,F,,Not Available,N,Non-Travel,Married,,Near,4,,,Poor,4,None,,4,yes,2,,Twenty
9117.0,Thirty,rnd,1,Laboratory Technician,,,12-05-2018,Yes,Rarely,single,19,4,3,,4,3,1,None,,1,yes,1,Twenty,1
2778.0,Thirty,HR,2,Tech,F,,2023-06-21,,Travel_Rarely,Single,Ten,,2,Zero,,4,4,,Five,2,yes,0,,
7109.0,Thirty,Human Resources,4,Research Scientist,Male,10301,Not Available,yes,Non-Travel,Divorced,Ten,,1,,2,2,4,,4,,yes,2,12,Twenty
2257.0,,Sales,5,Tech,M,10841,Not Available,No,Non-Travel,Single,12,,,,,3,Good,None,,4,Y,1,11,
7135.0,58,Human Resources,5,Research Scientist,male,Five Thousand,,yes,Travel_Rarely,M,,Far,High,,3,3,1,None,,1,No,0,Twenty,
5043.0,28,HR,1,Executive ,M,19291,,No,Travel_Rarely,,20,29,2,5,4,2,Good,,,High,N,Zero,16,Twenty
9741.0,,Sales,Two,Manager,Male,Five Thousand,,yes,Rarely,single,,18,2,,2,4,1,4,,2,N,3,Twenty,14
3910.0,47,,2,Executive ,male,4424,,N,Travel_Rarely,M,,,2,,2,,4,None,,2,Yes,,Twenty,4
5064.0,53,Research & Development,Two,Scientist,M,8204,,,,Divorced,Ten,,,,3,Poor,Good,,6,High,yes,Zero,12,Twenty
6969.0,36,HR,5,Scientist,M,,2017-12-21,yes,Non-Travel,Divorced,Ten,Near,4,4,4,4,,None,15,2,Yes,Zero,Twenty,
9673.0,,R&D,Two,Scientist,Male,Five Thousand,12-05-2018,No,Frequently,M,Ten,,High,,Low,4,1,None,9,,N,3,14,33
3470.0,Thirty,HR,4,Tech,Male,Five Thousand,12-05-2018,yes,Frequently,M,,Far,3,,1,1,3,None,Five,High,No,3,Twenty,Twenty
3356.0,Thirty,Human Resources,Two,Laboratory Technician,F,Five Thousand,12-05-2018,Yes,Non-Travel,D,18,10,High,,4,Poor,4,,,,yes,1,25,Twenty
7600.0,,rnd,Two,Executive ,M,16527,,,Rarely,D,19,Near,1,Zero,2,4,,,Five,4,No,,,29
9093.0,Thirty,Human Resources,3,Scientist,Male,14163,,Y,Travel_Rarely,single,,Far,4,Zero,1,4,2,None,Five,,Y,,,
5124.0,,HR,5,Research Scientist,M,Five Thousand,12-05-2018,yes,Travel_Rarely,Married,Ten,Near,3,0,,,4,,Five,3,yes,3,15,15
6049.0,,,2,,M,7337,2015-10-10,Yes,,Single,18,,High,,4,,2,,,2,Yes,2,,6
7142.0,,Sales,2,,,15955,,Y,Travel_Rarely,M,,Near,4,3,1,1,1,0,Five,3,No,Zero,19,
7871.0,28,Sales,5,,Female,,12-05-2018,,Rarely,Single,,Far,3,Zero,Low,,Good,None,Five,3,yes,2,Twenty,
2362.0,,Human Resources,5,Executive ,M,4281,2017-11-02,No,Travel_Frequently,D,7,6,,Zero,1,1,,9,,2,,3,10,
1482.0,,HR,4,Scientist,,,Not Available,Y,Travel_Rarely,,,,4,4,1,3,3,7,3,,,Zero,,
9309.0,,Sales,,Executive ,Female,7349,2023-01-24,No,Travel_Frequently,single,Ten,,3,2,2,2,2,0,5,,N,2,,1
6697.0,46,R&D,4,Laboratory Technician,Female,,,N,Rarely,,17,Near,4,,1,3,2,None,13,3,yes,3,,Twenty
8629.0,,Sales,1,,F,Five Thousand,12-05-2018,N,Travel_Rarely,single,0,,4,Zero,,1,2,None,5,High,yes,,,Twenty
6607.0,,,Two,Manager,,17423,,No,Frequently,single,Ten,Far,2,4,,4,2,None,Five,1,N,3,Twenty,
3181.0,,HR,1,Executive ,M,Five Thousand,12-05-2018,Y,,Married,9,,High,Zero,Low,Poor,Good,0,15,1,Yes,0,14,29
9944.0,39,Research & Development,3,Scientist,F,Five Thousand,12-05-2018,yes,Non-Travel,D,11,Near,High,Zero,Low,1,,None,5,4,No,2,,17
,Thirty,,4,Executive ,Female,,,N,Rarely,Married,,18,2,Zero,1,2,Good,10,,,yes,,,20
2456.0,,Research & Development,3,Scientist,Male,Five Thousand,Not Available,No,Frequently,Divorced,Ten,,High,5,1,3,,None,Five,,No,3,Twenty,17
3522.0,Thirty,Sales,1,Laboratory Technician,F,Five Thousand,Not Available,,,D,Ten,Far,,,1,3,1,,Five,High,No,2,Twenty,2
9036.0,,HR,3,Executive,Female,,12-05-2018,yes,Non-Travel,Married,Ten,Far,High,Zero,2,Poor,Good,None,,High,No,3,Twenty,
5329.0,,rnd,1,Laboratory Technician,male,,2021-01-22,Yes,Frequently,single,,Far,4,,1,3,4,,,3,Yes,1,11,Twenty
